ID,station name,connection,REA,TGV,Expresse,Cabotin,local
0,Bourg-en-bresse Terminus,R=1,,,,,
1,Bourg-en Bresse,0=2,,,,,
2,Préonnas,1=3,,,,,
3,Servas Lent,2=4,,,,,
4,Saint-Paul-de-Varax,3=5,,,,,
5,Marlieux Châtillon,4=6,,,,,
6,Villars les Dombes,5=7,,,,,
7,Saint-André-de-Corcy,6=8,,,,,
8,Mionnay,7=9,,,,,
9,Les échets,8=10,,,,,
10,Cailloux sur Fontaines,9=11,,,,,
11,Collonges Fontaines,10=12,,,,,
12,Saint Rambert,11=13,,,,,
13,Lyon Vaise,12=14,,,,,
14,Gorge de Loup,13=15,,,,,
15,Lyon Perrache,14=16,,,,,
16,Jean macé,15=17,,,,,
17,Saint-Jean-de-Dieu,16=18,,,,,
18,Vénessieux,17=19,,,,,
19,Saint-Priest,18=20,,,,,
20,Saint-Quentin-Fallavier,19=21,,,,,
21,La verpillère,20=22,,,,,
22,L'isle d'Abeau,21=23,,,,,
23,Bourgoin-Jailleu,22=24,,,,,
24,Bourgoin-Jailleu La casse,R=23,,,,,
