ID,station name,connection,REA,TGV,Expresse,Cabotin,local
0,Roanne,R=1,,,,,
1,Le Coteau,0=2,,,,,
2,L'Hopital-Sur-Rhins,1=3,,,,,
3,Régny,2=4,,,,,
4,Saint-Victor-Thizy,3=5,,,,,
5,Amplepuis,4=6,,,,,
6,Tarare,5=7,,,,,
7,Pontcharra,6=8,,,,,
8,L'Arbresle,7=9,,,,,
9,Fleurieux-sur-l'Arbresle,8=10,,,,,
10,Lentilly,9=11,,,,,
11,Lentilly-Charpenay,10=12,,,,,
12,La Tour-de-Salvagny,11=13,,,,,
13,Casin Lacroix-Laval,12=14,,,,,
14,Le Méridien,13=15,,,,,
15,Tassin,14=16,,,,,
16,Ecully-La-Demi-lune,15=17,,,,,
17,Gorge de Loup,16=18,,,,,
18,Hôtel de ville-Louis-Pradel,17=19,,,,,
19,Lyon Par Dieu,18=20 18=26,,,,,
20,Reconnaissance-Balzac,19=21,,,,,
21,Les-Brosse,20=22,,,,,
22,Lyon-Bron,21=23,,,,,
23,Genas,22=24,,,,,
24,Lyon-Saint-Exupéry,23=25,,,,,
25,Saint-Quentin-Fallavier,R=24,,,,,
26,Gratte-ciel,19=27,,,,,
27,Vauls-en-Velin-La soie,26=28,,,,,
28,Décines-Grand Larges,27=29,,,,,
29,Meyzieu,28=30,,,,,
30,Jonage,29=31,,,,,
31,Villette-d'Anthon,30=32,,,,,
32,Loyettes,R=31,,,,,
